PaginaWeb,Ciudad,Operación,ProductoPaginaWeb,URL
cyt,Salt,Ren,Edf,https://www.casasyterrenos.com/jalisco/el-salto/edificios/renta
cyt,Gdl,Ren,Edf,https://www.casasyterrenos.com/jalisco/guadalajara/edificios/renta
cyt,IMem,Ren,Edf,https://www.casasyterrenos.com/jalisco/ixtlahuacan-de-los-membrillos/edificios/renta
cyt,Jnctl,Ren,Edf,https://www.casasyterrenos.com/jalisco/juanacatlan/edificios/renta
cyt,Tlaj,Ren,Edf,https://www.casasyterrenos.com/jalisco/tlajomulco-de-zuniga/edificios/renta
cyt,Tlaq,Ren,Edf,https://www.casasyterrenos.com/jalisco/tlaquepaque/edificios/renta
cyt,Ton,Ren,Edf,https://www.casasyterrenos.com/jalisco/tonala/edificios/renta
cyt,Zap,Ren,Edf,https://www.casasyterrenos.com/jalisco/zapopan/edificios/renta
cyt,Zptl,Ren,Edf,https://www.casasyterrenos.com/jalisco/zapotlanejo/edificios/renta
cyt,Salt,Ven,Edf,https://www.casasyterrenos.com/jalisco/el-salto/edificios/venta
cyt,Gdl,Ven,Edf,https://www.casasyterrenos.com/jalisco/guadalajara/edificios/venta
cyt,IMem,Ven,Edf,https://www.casasyterrenos.com/jalisco/ixtlahuacan-de-los-membrillos/edificios/venta
cyt,Jnctl,Ven,Edf,https://www.casasyterrenos.com/jalisco/juanacatlan/edificios/venta
cyt,Tlaj,Ven,Edf,https://www.casasyterrenos.com/jalisco/tlajomulco-de-zuniga/edificios/venta
cyt,Tlaq,Ven,Edf,https://www.casasyterrenos.com/jalisco/tlaquepaque/edificios/venta
cyt,Ton,Ven,Edf,https://www.casasyterrenos.com/jalisco/tonala/edificios/venta
cyt,Zap,Ven,Edf,https://www.casasyterrenos.com/jalisco/zapopan/edificios/venta
cyt,Zptl,Ven,Edf,https://www.casasyterrenos.com/jalisco/zapotlanejo/edificios/venta
cyt,Salt,Ren,Terr,https://www.casasyterrenos.com/jalisco/el-salto/terrenos/renta
cyt,Gdl,Ren,Terr,https://www.casasyterrenos.com/jalisco/guadalajara/terrenos/renta
cyt,IMem,Ren,Terr,https://www.casasyterrenos.com/jalisco/ixtlahuacan-de-los-membrillos/terrenos/renta
cyt,Jnctl,Ren,Terr,https://www.casasyterrenos.com/jalisco/juanacatlan/terrenos/renta
cyt,Tlaj,Ren,Terr,https://www.casasyterrenos.com/jalisco/tlajomulco-de-zuniga/terrenos/renta
cyt,Tlaq,Ren,Terr,https://www.casasyterrenos.com/jalisco/tlaquepaque/terrenos/renta
cyt,Ton,Ren,Terr,https://www.casasyterrenos.com/jalisco/tonala/terrenos/renta
cyt,Zap,Ren,Terr,https://www.casasyterrenos.com/jalisco/zapopan/terrenos/renta
cyt,Zptl,Ren,Terr,https://www.casasyterrenos.com/jalisco/zapotlanejo/terrenos/renta
cyt,Salt,Ven,Terr,https://www.casasyterrenos.com/jalisco/el-salto/terrenos/venta
cyt,Gdl,Ven,Terr,https://www.casasyterrenos.com/jalisco/guadalajara/terrenos/venta
cyt,IMem,Ven,Terr,https://www.casasyterrenos.com/jalisco/ixtlahuacan-de-los-membrillos/terrenos/venta
cyt,Jnctl,Ven,Terr,https://www.casasyterrenos.com/jalisco/juanacatlan/terrenos/venta
cyt,Tlaj,Ven,Terr,https://www.casasyterrenos.com/jalisco/tlajomulco-de-zuniga/terrenos/venta
cyt,Tlaq,Ven,Terr,https://www.casasyterrenos.com/jalisco/tlaquepaque/terrenos/venta
cyt,Ton,Ven,Terr,https://www.casasyterrenos.com/jalisco/tonala/terrenos/venta
cyt,Zap,Ven,Terr,https://www.casasyterrenos.com/jalisco/zapopan/terrenos/venta
cyt,Zptl,Ven,Terr,https://www.casasyterrenos.com/jalisco/zapotlanejo/terrenos/venta
cyt,Salt,Ren,Ofc,https://www.casasyterrenos.com/jalisco/el-salto/oficinas/renta
cyt,Gdl,Ren,Ofc,https://www.casasyterrenos.com/jalisco/guadalajara/oficinas/renta
cyt,IMem,Ren,Ofc,https://www.casasyterrenos.com/jalisco/ixtlahuacan-de-los-membrillos/oficinas/renta
cyt,Jnctl,Ren,Ofc,https://www.casasyterrenos.com/jalisco/juanacatlan/oficinas/renta
cyt,Tlaj,Ren,Ofc,https://www.casasyterrenos.com/jalisco/tlajomulco-de-zuniga/oficinas/renta
cyt,Tlaq,Ren,Ofc,https://www.casasyterrenos.com/jalisco/tlaquepaque/oficinas/renta
cyt,Ton,Ren,Ofc,https://www.casasyterrenos.com/jalisco/tonala/oficinas/renta
cyt,Zap,Ren,Ofc,https://www.casasyterrenos.com/jalisco/zapopan/oficinas/renta
cyt,Zptl,Ren,Ofc,https://www.casasyterrenos.com/jalisco/zapotlanejo/oficinas/renta
cyt,Salt,Ven,Ofc,https://www.casasyterrenos.com/jalisco/el-salto/oficinas/venta
cyt,Gdl,Ven,Ofc,https://www.casasyterrenos.com/jalisco/guadalajara/oficinas/venta
cyt,IMem,Ven,Ofc,https://www.casasyterrenos.com/jalisco/ixtlahuacan-de-los-membrillos/oficinas/venta
cyt,Jnctl,Ven,Ofc,https://www.casasyterrenos.com/jalisco/juanacatlan/oficinas/venta
cyt,Tlaj,Ven,Ofc,https://www.casasyterrenos.com/jalisco/tlajomulco-de-zuniga/oficinas/venta
cyt,Tlaq,Ven,Ofc,https://www.casasyterrenos.com/jalisco/tlaquepaque/oficinas/venta
cyt,Ton,Ven,Ofc,https://www.casasyterrenos.com/jalisco/tonala/oficinas/venta
cyt,Zap,Ven,Ofc,https://www.casasyterrenos.com/jalisco/zapopan/oficinas/venta
cyt,Zptl,Ven,Ofc,https://www.casasyterrenos.com/jalisco/zapotlanejo/oficinas/venta
