nombre,descripcion,ubicacion,url,precio,tipo,habitaciones,baños,metros_cuadrados,estacionamientos
Departamento en Venta en Altagracia,"Buscas ubicación y tranquilidad sin salir de la ciudad?
Este agradable departamento en tercer nivel es un hogar pensado para ti.

Con sus 56.06 mts2, la distribución de esta propiedad es la siguiente:

*Estacionamiento para 1 vehículo

*Espacio para sala - comedor

*Cocina

*1 Baño completo

*Dos recámaras

*Pequeño patio de servicio

Este departamento se encuentra rodeado de vialidades principales (frente a Periférico Manuel Gómez Morín), a 3 minutos de CUCEA, a 5 minutos del Auditorio Telmex, a 7 minutos de Gran Terraza Belenes entre otros.

Líneas de tren, amplia variedad de rutas de camiones, plazas comerciales, escuelas, comercios, farmacias y tiendas de conveniencia.

Llámanos y agenda ya, para conocer tu nuevo hogar!","Altagracia, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-ee023d6bfba8-8bc1-1985d18-b855-7516,"$ 1,180,000 MXN",venta,2.0,1.0,56 m²,1 Estacionamiento
Departamento en Venta en Lomas Altas,"Hermoso departamento en el piso 8 en Lomas Altas, Torre Livorno.

Con acceso inmediato a la Av. Patria, Vallarta y Lázaro Cadenas. Muy cerca de Plaza Andares y Galerías. 

Superficie total con terraza y bodega 238.55 m2
Bodega 7.50 m2

Recámara principal con baño y vestidor
Recámara 2 con baño y clóset 
Recámara 3 con baño y clóset 
Clóset de blancos
Sala de TV
Medio baño de visitas
Cocina integral equipada
Amplia despensa
Sala / Comedor de gran tamaño 
Terraza a lo largo de sala comedor 
Área de lavado
Cuarto de servicio con baño completo 
Aires acondicionados 
3 cajones de estacionamiento 

Amenidades:
Gimnasio
Alberca
Jacuzzi
Zona de juego para niños
Salón de usos múltiples con terraza
Torre pet friendly.

Solo para inversionistas... EasyBroker ID: EB-RQ1902","Lomas Altas, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-ba45d2602147-7c7f-1931e57-b042-7364,"$ 14,500,000 MXN",venta,3.0,3.0,237 m²,3 Estacionamientos
Departamento en Venta en Lomas Altas,"Moderno y amplio departamento, ubicado en el mejor desarrollo de la zona Lomas Altas, zona caracterizada por sus amplias áreas verdes y localización, con cercanía y conexión rápida a cualquier zona de la ciudad.

""Vista Lomas"" cuenta con amenidades para cualquier uso, siendo un desarrollo de lujo bastante atractivo, joven, con excelente mantenimiento y seguridad en todas sus áreas.

SUPERFICIE:
Superficie interna: 125 m2
estacionamiento y bodega

DISTRIBUCIÓN:
Área de sala-comedor amplios con una vista increible a la ciudad
Cocina con desayunador y área de almacenaje amplia
Área de lavandería
Medio baño de visitas
Recámara principal con walk in closet y baño completo con doble ovalin
2 recámaras secundarias con closet y comparten baño
2 cajones de estacionamiento
Bodega

AMENIDADES:
3 salones de usos múltiples
Alberca climatizada (Próximamente)
Áreas verdes para usos múltiples 
Juegos infantiles
2 gimnasios
Ludoteca
Salón de juegos
Vigilancia 24 horas

UBICACIÓN y ZONAS ALEDAÑAS:
A 5 minutos de Av. Naciones Unidas, a 5 minutos de Providencia y Monraz, a 7 minutos de zona andares, a 5 minutos de la UAG.

¡LISTO PARA HABITAR!

PRECIO Y DISPONIBILIDAD SUJETOS A CAMNBIOS SIN PREVIO AVISO. EasyBroker ID: EB-NG6624","Lomas Altas, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-1215c19c671a-9548-1911100-8cfd-70e7,"$ 8,500,000 MXN",venta,3.0,2.0,125 m²,2 Estacionamientos
Departamento en Venta en Virreyes Residencial,"Hermoso departamento nuevo en Venta  Torre del Prado avenida Universidad!

Este departamento se encuentra en el nivel 3 y cuenta con las siguientes características:

- 72.30 m2
- ⁠sala comedor 
- ⁠cocina integral equipada 
- ⁠área de lavado 
- ⁠1 habitaciones ( con baño completo y vestidor) 
- ⁠1 cajones de estacionamiento 
- incluye lava-secadora y refrigerador

El desarrollo cuenta con las siguientes amenidades:

- lobby 
- ⁠salas lounge 
- ⁠acceso controlado
- ⁠seguridad 24/7
- área social piso 17
- ⁠gym piso 17
- ⁠alberca y terrazas al aire libre piso 17


PRECIO Y DISPONIBILIDAD SUJETO A CAMBIOS SIN PREVIO AVISO. EasyBroker ID: EB-SI7461","Virreyes Residencial, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-b84f9aab2242-349f-1951bf5-a12a-7bbb,"$ 6,470,809 MXN",venta,1.0,1.0,72 m²,1 Estacionamiento
Departamento en Venta en Virreyes Residencial,"Hermoso departamento nuevo en Venta  Torre del Prado avenida Universidad!

Este departamento se encuentra en el nivel 4 y cuenta con las siguientes características:

- 97.73 m2
- ⁠sala comedor 
- ⁠cocina integral equipada 
- ⁠área de lavado 
- ⁠2 habitaciones (cada una con baño completo y vestidor) 
- ⁠2 cajones de estacionamiento 
- incluye lava-secadora y refrigerador

El desarrollo cuenta con las siguientes amenidades:

- lobby 
- ⁠salas lounge 
- ⁠acceso controlado
- ⁠seguridad 24/7
- área social piso 17
- ⁠gym piso 17
- ⁠alberca y terrazas al aire libre piso 17



PRECIO Y DISPONIBILIDAD SUJETO A CAMBIOS SIN PREVIO AVISO. EasyBroker ID: EB-SI7131","Virreyes Residencial, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-92a2adadcc84-3c32-1951bf5-a2bc-731a,"$ 8,805,419 MXN",venta,2.0,2.0,,2 Estacionamientos
Departamento en Venta en Virreyes Residencial,"Hermoso departamento nuevo en Venta Torre del Prado avenida Universidad!

Este departamento se encuentra en el nivel 4 y cuenta con las siguientes características:

- 144.20 m2
- ⁠sala comedor 
- ⁠cocina integral equipada 
- ⁠área de lavado 
- ⁠3 habitaciones (cada una con baño completo y vestidor) 
- ⁠2 cajones de estacionamiento 
- incluye lava-secadora y refrigerador

El desarrollo cuenta con las siguientes amenidades:

- lobby 
- ⁠salas lounge 
- ⁠acceso controlado
- ⁠seguridad 24/7
- área social piso 17
- ⁠gym piso 17
- ⁠alberca y terrazas al aire libre piso 17



PRECIO Y DISPONIBILIDAD SUJETO A CAMBIOS SIN PREVIO AVISO. EasyBroker ID: EB-SI7269","Virreyes Residencial, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-8494daf6074d-5099-1951bf5-82b8-723d,"$ 13,006,758 MXN",venta,3.0,3.0,144 m²,2 Estacionamientos
Departamento en Venta en Virreyes Residencial,"***Precios y condiciones sujetos a cambio sin previo aviso***

LO1220AI/2
Letizia


Preventa precioso departamentos con increíbles áreas verdes en la zona diamante de la ciudad, cuenta con

254 Mts.
3 Recamaras
3 Estacionamientos
Terminados de super lujo

Amenidades exclusivas de la torre
Alberca
Gym
Salón Multifuncional
Motor Lobby
Concierge / Recepción
Business Center
Ludoteca
Proyecto de sanitización permanente de todas las áreas
Elevadores directos al departamento
Seguridad 24 hrs.
Vialidades internas
Strip Mall
9,000 Mts. de Parque central
Concepto natural impresionante!!!!

***Precio de contado pagando en una sola exhibición***

Diversos planes de financiamiento. EasyBroker ID: EB-GJ9660","Virreyes Residencial, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-44b1d2d4d212-d2fe-bad01fc7-9436-3aed,"$ 18,653,000 MXN",venta,3.0,,254 m²,3 Estacionamientos
Departamento en Venta en Lomas Altas,"Descubre la tranquilidad de vivir en un entorno lleno de naturaleza, con diversas áreas recreativas y de esparcimiento, vive en uno de los mejores entornos de armonía y el lujo que te ofrece este desarrollo.

Este exclusivo departamento se encuentra en piso 3 con una excelente vista a áreas verdes muy arboladas.

Este departamento cuenta con 157m2 en los que encontrarás amplia sala, comedor, cocina totalmente equipada, 3 habitaciones cada una con baño completo, la habitación principal cuenta con un amplio vestidor y una excelente vista, star de T.V, clóset de blancos, área de lavado con cuarto de servicio y baño completo, 2 cajones de estacionamiento y bodega.
Cuenta con Aire acondicionado y cortinas.

La torre cuenta con amenidades como: 
Rooftop 
2 Gimnasios 
Business center
2 Salones de eventos
Salón de juegos
Ludoteca
Terraza al aire libre
Juegos para niños 
Seguridad 24/7 en todas las áreas del condominio
Próximamente alberca infinity Pool con vista a Andares. EasyBroker ID: EB-TD4979","Lomas Altas, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-67f2d7c147bc-84a-196dc03-8dba-7783,"$ 10,000,000 MXN",venta,3.0,4.0,157 m²,2 Estacionamientos
Departamento en Venta en Jardines de La Estancia,"Departamento con un proyecto innovador con una ubicación inmejorable y rodeado de cercanías, que te harán disfrutar de Guadalajara de una manera única cerca de plaza comercial y con vistas al parque metropolitano, aprovecha hasta 30 meses para pagar y disfruta de sus amenidades de lujo Lobby, albercas, skypool, jacuzzi, gimnasio, spa, salón de usos múltiples, roof top, coffe station, sala de cine, sala de juegos, kids club, salón de eventos, cancha de padel, fire pit, centro de negocios y áreas verdes","Jardines de La Estancia, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-f472e4c61007-53ff-1930043-a1d9-7af3,"$ 5,672,156 MXN",venta,2.0,2.0,92 m²,2 Estacionamientos
Departamento en Venta en Lomas Altas,"Ubicado en una de las zonas más exclusivas de la ciudad, este impecable departamento se encuentra en el piso 8 de un edificio moderno y seguro, ofreciendo vistas panorámicas impresionantes.



DEL DEPARTAMENTO
Con una superficie total de 238.55 m2, este departamento incluye una amplia terraza privada y una práctica bodega en el sótano. Cocina integral, sala, comedor. Incluye un área de lavado independiente con baño completo y recámara de servicio, proporcionando privacidad y conveniencia adicional. Cuenta con 3 amplias recámaras, todas con baño completo.

La recámara principal incluye un vestidor espacioso y tina, mientras que las recámaras secundarias tienen closets integrados. Los acabados interiores son de primera calidad, con pisos de mármol en áreas sociales y madera en los dormitorios. Se incluyen 3 cajones de estacionamiento en el sótano 2 (lugares números 36, 37 y 38) y una bodega de aproximadamente 7.50 m2 en el sótano1 (bodega número 10). El edificio ofrece áreas comunes como gimnasio, salón de eventos, juegos infantiles, alberca, jacuzzi, área de perros y jardines bien cuidados.

DE LAS AMENIDADES
• Alberca.
• Jacuzzi
• Salón de usos múltiples.
• Gimnasio.
• Juegos infantiles.
• Área para perros.
• Múltiples áreas verdes.

DEL DESARROLLO
• Doble elevador por torre.
• 3 sótanos con amplios estacionamientos y espacios para visitas.
• Área de mantenimiento para instalaciones independiente.
• Acceso controlado para visitas con tarjeta digital.
• Vigilancia 24/7.

Cuota de Mantenimiento $7,156.38 MXN


Disponibilidad y Precio sujetos a cambios sin previo aviso. EasyBroker ID: EB-QO8803","Lomas Altas, Zapopan, Jalisco",https://www.lamudi.com.mx/detalle/41032-73-11a132481d00-3b7a-19066d9-9150-715b,"$ 14,500,000 MXN",venta,3.0,3.0,231 m²,3 Estacionamientos
